country,county,unit_name,unit_uid,unit_code,unit _type
Kenya,Uasin Gishu County,Ainabkoi Sub County,mYlMs4xTj82,KE_SubCounty_3229,Subcounty
Kenya,Kericho County,Ainamoi Sub County,GshNTMZJ5r1,KE_SubCounty_3026,Subcounty
Kenya,Nandi County,Aldai Sub County,Sq2fLWnOCGg,KE_SubCounty_3171,Subcounty
Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,KE_SubCounty_3203,Subcounty
Kenya,Mandera County,Arabia Sub County,QiXBA5Ji7dA,KE_SubCounty_3272,Subcounty
Kenya,Turkana County,Aroo Sub County,FKt9UVErwh3,,Subcounty
Kenya,Machakos County,Athi River Sub County,BxfsSc6Svrc,KE_SubCounty_3093,Subcounty
Kenya,Migori County,Awendo Sub County,ka9Uv3Ckcbd,KE_SubCounty_3125,Subcounty
Kenya,Garissa County,Balambala Sub County,FGBNPr91pXH,KE_SubCounty_2993,Subcounty
Kenya,Mandera County,Banissa Sub County,hCvlJNjyZna,KE_SubCounty_3104,Subcounty
Kenya,Baringo County,Baringo Central Sub County,k7Rj54u6dMx,KE_SubCounty_2956,Subcounty
Kenya,Baringo County,Baringo North Sub County,bqtTmWcikTN,KE_SubCounty_2957,Subcounty
Kenya,Kericho County,Belgut Sub County,YnIAWg1T4AY,KE_SubCounty_3024,Subcounty
Kenya,Kisii County,Bobasi Sub County,cooDDG3Lh3A,KE_SubCounty_3058,Subcounty
Kenya,Kisii County,Bomachoge Borabu Sub County,ntRK47D5dYL,KE_SubCounty_3059,Subcounty
Kenya,Kisii County,Bomachoge Chache Sub County,YqYSkwmOtiR,KE_SubCounty_3057,Subcounty
Kenya,Bomet County,Bomet Central Sub County,m9gdonbVXjZ,KE_SubCounty_2960,Subcounty
Kenya,Bomet County,Bomet East Sub County,OZNRpww2TUK,KE_SubCounty_2961,Subcounty
Kenya,Kisii County,Bonchari Sub County,zCCIu1Vi3Wh,KE_SubCounty_3061,Subcounty
Kenya,Siaya County,Bondo Sub County,JNvqpOnKfGR,KE_SubCounty_3201,Subcounty
Kenya,Nyamira County,Borabu Sub County,ABuzigW8Lzw,KE_SubCounty_3179,Subcounty
Kenya,Bungoma County,Bumula Sub County,jkQZEow83MX,KE_SubCounty_2969,Subcounty
Kenya,Busia County,Bunyala Sub County,zI6vnsXresW,KE_SubCounty_2973,Subcounty
Kenya,Tana River County,Bura Sub County,yWPcTwGwQ2B,KE_SubCounty_3249,Subcounty
Kenya,Kericho County,Bureti Sub County,wt8cPHWfkfu,KE_SubCounty_3025,Subcounty
Kenya,Kakamega County,Butere Sub County,K7mZpm8COh7,KE_SubCounty_3014,Subcounty
Kenya,Busia County,Butula Sub County,RIBiZFJxB1K,KE_SubCounty_2975,Subcounty
Kenya,Meru County,Buuri East Sub County,xN5aPo4ZOIt,KE_SubCounty_3111,Subcounty
Kenya,Meru County,Buuri West Sub County,XlYC8FMUgxi,KE_SubCounty_3260,Subcounty
Kenya,Mombasa County,Changamwe Sub County,OvI6w06DhPJ,KE_SubCounty_3132,Subcounty
Kenya,Bomet County,Chepalungu Sub County,PUhMyfDD2xp,KE_SubCounty_2962,Subcounty
Kenya,Bungoma County,Cheptais Sub County,NZphHeczehh,KE_SubCounty_1289,Subcounty
Kenya,Trans Nzoia County,Cherangany Sub County,f18kGo9yXWo,KE_SubCounty_3215,Subcounty
Kenya,Nandi County,Chesumei Sub County,xLWuQq3DjOR,KE_SubCounty_3169,Subcounty
Kenya,Tharaka Nithi County,Chuka Sub County,JmE1qRVQD4F,KE_SubCounty_3213,Subcounty
Kenya,Garissa County,Dadaab Refugee Camp Sub County,wYTqff68aVM,,Subcounty
Kenya,Garissa County,Dadaab Sub County,EW4Jw4dVWBt,KE_SubCounty_2991,Subcounty
Kenya,Nairobi County,Dagoretti North Sub County,CcTr4bcVGAG,KE_SubCounty_3154,Subcounty
Kenya,Nairobi County,Dagoretti South Sub County,sqNWYDHZZ6W,KE_SubCounty_3153,Subcounty
Kenya,Wajir County,Eldas Sub County,x6Z1sBeiyqQ,KE_SubCounty_3239,Subcounty
Kenya,Nairobi County,Embakasi Central Sub County,XvpLXU47BKs,KE_SubCounty_3145,Subcounty
Kenya,Nairobi County,Embakasi East Sub County,gD4xxgDGJ4Y,KE_SubCounty_3144,Subcounty
Kenya,Nairobi County,Embakasi North Sub County,SSz1iOv28Jk,KE_SubCounty_3146,Subcounty
Kenya,Nairobi County,Embakasi South Sub County,aDp1odOWYC1,KE_SubCounty_3147,Subcounty
Kenya,Nairobi County,Embakasi West Sub County,aCwUX5V42Zz,KE_SubCounty_3143,Subcounty
Kenya,Nandi County,Emgwen Sub County,Njv37QXxNy2,KE_SubCounty_3168,Subcounty
Kenya,Vihiga County,Emuhaya Sub County,Lpy789vqRC6,KE_SubCounty_3233,Subcounty
Kenya,Trans Nzoia County,Endebess Sub County,PsjxYLsJSIp,KE_SubCounty_3218,Subcounty
Kenya,Garissa County,Fafi Sub County,RScEHA3V38d,KE_SubCounty_2990,Subcounty
Kenya,Tana River County,Galole Sub County,A4SNYCxrrnv,KE_SubCounty_3248,Subcounty
Kenya,Kilifi County,Ganze Sub County,x7qUMtZZvo9,KE_SubCounty_3043,Subcounty
Kenya,Isiolo County,Garbatulla Sub County,ecl4YnDebUi,KE_SubCounty_3003,Subcounty
Kenya,Garissa County,Garissa Sub County,lQkHbTC1iRg,KE_SubCounty_2994,Subcounty
Kenya,Tana River County,Garsen Sub County,Lj0mu9j58Ss,KE_SubCounty_3250,Subcounty
Kenya,Muranga County,Gatanga Sub County,Z7ALMtFNfeZ,KE_SubCounty_3133,Subcounty
Kenya,Kiambu County,Gatundu North Sub County,HEsM6W2ImQR,KE_SubCounty_3039,Subcounty
Kenya,Kiambu County,Gatundu South Sub County,EcRytSSIkUq,KE_SubCounty_3040,Subcounty
Kenya,Siaya County,Gem Sub County,PKeFksHlJkB,KE_SubCounty_3202,Subcounty
Kenya,Nakuru County,Gilgil Sub County,hBU8B1KI12P,KE_SubCounty_3163,Subcounty
Kenya,Kiambu County,Githunguri Sub County,E7tkGikenbD,KE_SubCounty_3035,Subcounty
Kenya,Vihiga County,Hamisi Sub County,BXaq5PxSfz2,KE_SubCounty_3235,Subcounty
Kenya,Homa Bay County,Homa Bay Town Sub County,Ur2xRBDtazT,KE_SubCounty_2998,Subcounty
Kenya,Garissa County,Hulugho Sub County,uyeif4CPqHt,KE_SubCounty_2989,Subcounty
Kenya,Tharaka Nithi County,Igambangombe Sub County,yXwsnpFBIPW,KE_SubCounty_3256,Subcounty
Kenya,Meru County,Igembe Central Sub County,TPfcUHno8oP,KE_SubCounty_3117,Subcounty
Kenya,Meru County,Igembe North Sub County,G9DoZvSdGLx,KE_SubCounty_3116,Subcounty
Kenya,Meru County,Igembe South Sub County,wtuGWT7KjVm,KE_SubCounty_3118,Subcounty
Kenya,Garissa County,Ijara Sub County,l5E6PiIUs1J,KE_SubCounty_2988,Subcounty
Kenya,Kakamega County,Ikolomani Sub County,BE6HMtlHyl1,KE_SubCounty_3011,Subcounty
Kenya,Meru County,Imenti Central Sub County,OnNcTsJgfvL,KE_SubCounty_3112,Subcounty
Kenya,Meru County,Imenti North Sub County,BDxUGx86itV,KE_SubCounty_3113,Subcounty
Kenya,Meru County,Imenti South Sub County,AFIlzKNxXST,KE_SubCounty_3110,Subcounty
Kenya,Isiolo County,Isiolo Sub County,I2LYLqKU6AW,KE_SubCounty_3004,Subcounty
Kenya,Muranga County,Ithanga Sub County,ETGSIeGBsqt,,Subcounty
Kenya,Mombasa County,Jomvu Sub County,vSISrsNNHwq,KE_SubCounty_3131,Subcounty
